Column Name	#	Data Type	Length	Scale	Not Null	Auto Generated	Auto Increment	Default	Description
Scheduled Time	29	VARCHAR	9	[NULL]	false	false	false	[NULL]	
Confirmed Scheduled Time	30	VARCHAR	9	[NULL]	false	false	false	[NULL]	
Scheduled Duration Hours	31	NUMBER	24	6	false	false	false	[NULL]	
Visit Duration Hours	32	NUMBER	24	6	false	false	false	[NULL]	
Is Short Visit	33	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Is Late Start	34	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Is Short Visit (15)	35	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Is Late Start (15)	36	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Short Duration Minutes	37	NUMBER	19	[NULL]	false	false	false	[NULL]	
Late Duration Minutes	38	NUMBER	18	[NULL]	false	false	false	[NULL]	
Short Visit Range	39	VARCHAR	15	[NULL]	false	false	false	[NULL]	
Late Duration Range	40	VARCHAR	15	[NULL]	false	false	false	[NULL]	
Visit Duration Range	41	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Contract Type	42	VARCHAR	14	[NULL]	false	false	false	[NULL]	
Contract Usage Type	43	VARCHAR	14	[NULL]	false	false	false	[NULL]	
Approved Travel Time Hours	44	NUMBER	38	[NULL]	false	false	false	[NULL]	
Coordinator Name	45	VARCHAR	1000	[NULL]	false	false	false	[NULL]	
Has Live In Caregiver	46	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Employer Internal Number	47	VARCHAR	200	[NULL]	false	false	false	[NULL]	
Employer Name	48	VARCHAR	256	[NULL]	false	false	false	[NULL]	
Missed Visit Notes	49	VARCHAR	8000	[NULL]	false	false	false	[NULL]	
Call In Device Type	50	VARCHAR	20	[NULL]	false	false	false	[NULL]	
Call In Phone Number	51	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Call In Time	52	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Call In Time Minutes	53	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Call In Rounded (15)	54	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Call In GPS Coordinates	55	VARCHAR	100	[NULL]	false	false	false	[NULL]	
Call In Address	56	VARCHAR	3005	[NULL]	false	false	false	[NULL]	
Call In Linked Date	57	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Call In Linked By User	58	VARCHAR	8000	[NULL]	false	false	false	[NULL]	
Call Out Device Type	59	VARCHAR	20	[NULL]	false	false	false	[NULL]	
Call Out Phone Number	60	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Call Out Time	61	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Call Out Time Minutes	62	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Call Out Rounded (15)	63	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Call Out GPS Coordinates	64	VARCHAR	100	[NULL]	false	false	false	[NULL]	
Call Out Address	65	VARCHAR	3005	[NULL]	false	false	false	[NULL]	
Call Out Linked Date	66	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Call Out Linked By User	67	VARCHAR	8000	[NULL]	false	false	false	[NULL]	
Payer Id	68	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Payer Id	69	NUMBER	38	[NULL]	false	false	false	[NULL]	
Provider Id	70	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Provider Id	71	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Office Id	72	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Office Id	73	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Patient Id	74	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Patient Id	75	NUMBER	38	[NULL]	false	false	false	[NULL]	
Caregiver Id	76	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Caregiver Id	77	NUMBER	38	[NULL]	false	false	false	[NULL]	
Service Code Id	78	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Service Code Id	79	NUMBER	38	[NULL]	false	false	false	[NULL]	
Linked Service Code Id	80	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Linked Service Code Id	81	NUMBER	38	[NULL]	false	false	false	[NULL]	
Orig Service Code Id	82	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Orig Service Code Id	83	NUMBER	38	[NULL]	false	false	false	[NULL]	
Contract Id	84	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Contract Id	85	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Payer Patient Id	86	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Application Payer Patient Id	87	NUMBER	38	[NULL]	false	false	false	[NULL]	
Provider Patient Id	88	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Application Provider Patient Id	89	NUMBER	38	[NULL]	false	false	false	[NULL]	
Invoice Id	90	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Invoice Id	91	NUMBER	38	[NULL]	false	false	false	[NULL]	
Reason Id	92	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Action Taken Reason Id	93	VARCHAR	50	[NULL]	false	false	false	[NULL]	
ENVIRONMENT	94	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Service Hours	95	NUMBER	38	6	false	false	false	[NULL]	
Billed Hours	96	NUMBER	38	6	false	false	false	[NULL]	
Billed Units	97	NUMBER	19	3	false	false	false	[NULL]	
Billed Rate	98	NUMBER	19	3	false	false	false	[NULL]	
Total Billed Amount	99	NUMBER	19	3	false	false	false	[NULL]	
Billed	100	VARCHAR	3	[NULL]	false	false	false	[NULL]	
Invoice Number	101	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Invoice Created Date	102	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Invoice Date	103	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
External Claim Number	104	VARCHAR	100	[NULL]	false	false	false	[NULL]	
Payment Status	105	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Payment Amount	106	NUMBER	31	3	false	false	false	[NULL]	
Adjustment Amount	107	NUMBER	31	3	false	false	false	[NULL]	
Travel Time Adjustment Amount	108	NUMBER	31	3	false	false	false	[NULL]	
Write off Amount	109	NUMBER	31	3	false	false	false	[NULL]	
Other Adjustment Amount	110	NUMBER	31	3	false	false	false	[NULL]	
Days to Bill	111	NUMBER	9	[NULL]	false	false	false	[NULL]	
Days to pay	112	NUMBER	9	[NULL]	false	false	false	[NULL]	
Admitting Diagnosis	113	VARCHAR	500	[NULL]	false	false	false	[NULL]	
Primary Diagnosis	114	VARCHAR	500	[NULL]	false	false	false	[NULL]	
Diagnosis Code	115	VARCHAR	500	[NULL]	false	false	false	[NULL]	
Diagnosis Description	116	VARCHAR	8000	[NULL]	false	false	false	[NULL]	
Auth Billing Hours Difference	117	NUMBER	38	6	false	false	false	[NULL]	
Missed Visit Reason	118	VARCHAR	500	[NULL]	false	false	false	[NULL]	
EVV Complete	119	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Call In Duties Performed	120	NUMBER	38	[NULL]	false	false	false	[NULL]	
Call Out Duties Performed	121	NUMBER	38	[NULL]	false	false	false	[NULL]	
Call In Call Duration	122	NUMBER	38	[NULL]	false	false	false	[NULL]	
Call Out Call Duration	123	NUMBER	38	[NULL]	false	false	false	[NULL]	
Confirmed Hours Used	124	NUMBER	17	2	false	false	false	[NULL]	
Action Taken	125	VARCHAR	500	[NULL]	false	false	false	[NULL]	
Non Payer Address	126	VARCHAR	5	[NULL]	false	false	false	[NULL]	
Non Payer Phone Number	127	VARCHAR	5	[NULL]	false	false	false	[NULL]	
Created Date Time	128	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Authorization Status	129	VARCHAR	14	[NULL]	false	false	false	[NULL]	
Billing Batch Number	130	VARCHAR	100	[NULL]	false	false	false	[NULL]	
Billing Batch Date	131	TIMESTAMPNTZ	[NULL]	9	false	false	false	[NULL]	
Billing Batch Status	132	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Visit Date Month	133	TIMESTAMPNTZ	[NULL]	9	false	false	false	[NULL]	
ExceptionInd	134	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Manual Edit	135	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Is Exception	136	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Exception Id	137	NUMBER	1	[NULL]	false	false	false	[NULL]	
Exception Description	138	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Exception Reason	139	VARCHAR	500	[NULL]	false	false	false	[NULL]	
Visit Updated Timestamp	140	TIMESTAMPTZ	[NULL]	9	false	false	false	[NULL]	
Visit Updated User Id	141	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Application Visit Updated User Id	142	VARCHAR	50	[NULL]	false	false	false	[NULL]	
Permanent Deleted	143	BOOLEAN	[NULL]	[NULL]	false	false	false	[NULL]	
Bill Rate Non-Billed	144	NUMBER	18	6	false	false	false	[NULL]	
Bill Hours Non-Billed	145	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Bill Units Non-Billed	146	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Bill Type Non-Billed	147	VARCHAR	16777216	[NULL]	false	false	false	[NULL]	
Bill Amount Non-Billed	148	NUMBER	18	6	false	false	false	[NULL]	
Usage Tags	149	VARIANT	[NULL]	[NULL]	false	false	false	[NULL]	
